Altium Designer Pick and Place Locations
D:\实验室资料\充电桩底板V1.2\充电桩底板V1.1\Project Outputs for 充电桩底板V1.1\Pick Place for CDJDBV1.1.csv

========================================================================================================================
File Design Information:

Date:       30/10/22
Time:       14:57
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"2","M3","TopLayer","M3_125X200","103.5050","10.0330","0","铜柱孔"
"1","M3","TopLayer","M3_125X200","171.5770","89.9160","0","铜柱孔"
"TP3","TEST","TopLayer","TEST_1.6","207.6450","98.1710","0","测试点"
"TP2","TEST","TopLayer","TEST_1.6","189.3570","95.2500","0","测试点"
"TP1","TEST","TopLayer","TEST_1.6","220.2180","111.8870","0","测试点"
"R106","1k","TopLayer","R_0603_M","181.9910","92.9640","270","贴片电阻"
"LED1","红色","TopLayer","LED_0603R","181.9910","88.7730","270","贴片LED"
"C57","","TopLayer","CAP_2.5*5*11_-_GD","222.4840","102.7430","360","Polarized Capacitor (Radial)"
"U41","PW2815","TopLayer","ESOP8_N","219.4130","93.6090","270",""
"R105","19.1K","TopLayer","R_0805_L","215.5190","95.1840","270","贴片电阻"
"R104","100K","TopLayer","R_0805_L","220.2840","98.8060","180","贴片电阻"
"R103","100K","TopLayer","R_0805_L","213.1060","95.1840","90","贴片电阻"
"L1","22uH","TopLayer","L-SMD-0630","223.7740","84.5820","270","色环电感"
"D1","SS310","TopLayer","SMB","225.2980","93.3450","270","Silicon RF Schottky Diode for Mixer Applications in the VHF/UHF Range"
"CF2","0.1uF","TopLayer","C_0805_L","223.9620","98.8060","180","贴片电容"
"CF1","0.1uF","TopLayer","C_0805_L","214.3760","82.1030","270","贴片电容"
"C54","0.1uF","TopLayer","C_0805_L","218.8211","87.5029","90","贴片电容"
"C56","22uF","TopLayer","C_0805_M","218.6940","81.9150","270","无极性贴片电容"
"C55","22uF","TopLayer","C_0805_M","216.5350","81.9150","270","无极性贴片电容"
"IC5","CD4067BM96","BottomLayer","SOP24_M","93.5990","92.2020","90","16通道模拟开关"
"IC3","74HC595","TopLayer","SOP16_N","205.3590","78.2320","90","8位移位寄存器"
"N_IN","HDR-1X2","TopLayer","KF7620-2P","298.7040","67.1830","270","2P接插件"
"L_IN","HDR-1X4","TopLayer","KF7620-4P","298.7370","92.2020","270","4P接插件"
"","Component_2","TopLayer","HLINK-PM12","256.4400","98.6070","180","HI-LINK AC-DC12V电源模块"
"","M3","TopLayer","M3_125X200","7.8740","4.3180","0","铜柱孔"
"*","M3","TopLayer","M3_125X200","305.4350","114.3000","0","铜柱孔"
"","M3","TopLayer","M3_125X200","8.1280","95.6310","0","铜柱孔"
"","M3","TopLayer","M3_125X200","304.2920","5.9690","0","铜柱孔"
"JP9","HDR-1X4","TopLayer","KF7620-4P","38.7350","12.0320","180","4P接插件"
"JP8","HDR-1X2","TopLayer","KF7620-2P","86.3600","11.7780","180","2P接插件"
"R7","5mR","TopLayer","10mm_sampl","237.1137","46.4820","360","Resistor"
"M？3","HLK-PM03","TopLayer","HLINK-PM03","290.2350","32.8610","360","HI-LINK AC-DC3.3V电源模块"
"JK3","HF","TopLayer","HF163F-L16","237.0674","29.0980","270","HF双线圈磁保持继电器"
"JP7","HDR-1X4","TopLayer","KF7620-4P","139.0650","12.0320","180","4P接插件"
"JP6","HDR-1X2","TopLayer","KF7620-2P","186.5630","11.3970","180","2P接插件"
"JP3","HDR-1X2","TopLayer","KF7620-2P","290.5760","11.6510","180","2P接插件"
"JP2","HDR-1X4","TopLayer","KF7620-4P","243.0780","11.9050","180","4P接插件"
"V1","AMS1117-3V3","TopLayer","SOT223_L","194.8180","92.3290","90","三端稳压芯片"
"U30","HLW8110","TopLayer","SOP8","52.5780","57.5310","90",""
"U9","PC817","TopLayer","SOP4-W2.54_L","218.5670","68.9610","270","4-Pin Phototransistor Optocoupler"
"U34","PC817","TopLayer","SOP4-W2.54_L","33.0200","68.9610","270","4-Pin Phototransistor Optocoupler"
"U6","HLW8110","TopLayer","SOP8","256.6247","57.5310","90",""
"U36","PC817","TopLayer","SOP4-W2.54_L","15.1130","68.9610","270","4-Pin Phototransistor Optocoupler"
"U38","PC817","TopLayer","SOP4-W2.54_L","38.4810","68.9610","90","4-Pin Phototransistor Optocoupler"
"U28","PC817","TopLayer","SOP4-W2.54_L","174.6250","69.0880","90","4-Pin Phototransistor Optocoupler"
"U27","PC817","TopLayer","SOP4-W2.54_L","121.4120","69.0880","90","4-Pin Phototransistor Optocoupler"
"U5","HLW8110","TopLayer","SOP8","274.7010","57.5310","90",""
"U21","PC817","TopLayer","SOP4-W2.54_L","133.6463","69.0880","270","4-Pin Phototransistor Optocoupler"
"U35","PC817","TopLayer","SOP4-W2.54_L","69.0880","68.9610","270","4-Pin Phototransistor Optocoupler"
"U33","PC817","TopLayer","SOP4-W2.54_L","50.6730","68.9610","270","4-Pin Phototransistor Optocoupler"
"U20","HLW8110","TopLayer","SOP8","117.7290","57.6580","90",""
"U16","PC817","TopLayer","SOP4-W2.54_L","278.0030","68.9610","90","4-Pin Phototransistor Optocoupler"
"U15","PC817","TopLayer","SOP4-W2.54_L","242.1043","68.9610","90","4-Pin Phototransistor Optocoupler"
"U13","PC817","TopLayer","SOP4-W2.54_L","224.1550","68.9610","90","4-Pin Phototransistor Optocoupler"
"U23","PC817","TopLayer","SOP4-W2.54_L","115.8240","69.0880","270","4-Pin Phototransistor Optocoupler"
"U17","HLW8110","TopLayer","SOP8","171.1960","57.6580","90",""
"U39","PC817","TopLayer","SOP4-W2.54_L","74.5490","68.9610","90","4-Pin Phototransistor Optocoupler"
"U24","PC817","TopLayer","SOP4-W2.54_L","169.2910","69.0880","270","4-Pin Phototransistor Optocoupler"
"U37","PC817","TopLayer","SOP4-W2.54_L","56.1340","68.9610","90","4-Pin Phototransistor Optocoupler"
"U25","PC817","TopLayer","SOP4-W2.54_L","139.1497","69.0880","90","4-Pin Phototransistor Optocoupler"
"U12","PC817","TopLayer","SOP4-W2.54_L","272.6690","68.9610","270","4-Pin Phototransistor Optocoupler"
"U8","HLW8110","TopLayer","SOP8","220.4720","57.5310","90",""
"U22","PC817","TopLayer","SOP4-W2.54_L","151.4687","69.0880","270","4-Pin Phototransistor Optocoupler"
"U19","HLW8110","TopLayer","SOP8","135.6360","57.6580","90",""
"U18","HLW8110","TopLayer","SOP8","153.5430","57.6580","90",""
"U29","HLW8110","TopLayer","SOP8","70.9930","57.5310","90",""
"U10","PC817","TopLayer","SOP4-W2.54_L","254.6350","68.9610","270","4-Pin Phototransistor Optocoupler"
"U7","HLW8110","TopLayer","SOP8","238.5060","57.5310","90",""
"U40","PC817","TopLayer","SOP4-W2.54_L","20.5740","68.9610","90","4-Pin Phototransistor Optocoupler"
"U31","HLW8110","TopLayer","SOP8","34.9250","57.5310","90",""
"U26","PC817","TopLayer","SOP4-W2.54_L","156.8873","69.0880","90","4-Pin Phototransistor Optocoupler"
"U11","PC817","TopLayer","SOP4-W2.54_L","236.6010","68.9610","270","4-Pin Phototransistor Optocoupler"
"U32","HLW8110","TopLayer","SOP8","17.0180","57.5310","90",""
"U14","PC817","TopLayer","SOP4-W2.54_L","260.0537","68.9610","90","4-Pin Phototransistor Optocoupler"
"U2","ULN2003","TopLayer","SOP16_M","193.0400","67.5640","270","达林顿驱动芯片"
"U4","ULN2003","TopLayer","SOP16_M","102.3620","67.1830","270","达林顿驱动芯片"
"U3","ULN2003","TopLayer","SOP16_M","91.3130","67.1830","270","达林顿驱动芯片"
"U1","ULN2003","TopLayer","SOP16_M","204.0890","67.5180","270","达林顿驱动芯片"
"R44","100R","TopLayer","R_0805_L","155.4479","51.3690","270","Resistor"
"R5","5mR","TopLayer","10mm_sampl","273.3510","46.4820","360","Resistor"
"R28","2K","TopLayer","R_0805_L","245.7449","73.2791","270","Resistor"
"R101","1K","TopLayer","R_0805_L","63.3731","65.2779","90","Resistor"
"R26","2K","TopLayer","R_0805_L","227.8379","73.0251","270","Resistor"
"R2","100R","TopLayer","R_0805_L","251.9679","51.2420","270","Resistor"
"R90","200K","TopLayer","R_0805_L","87.1219","55.8799","0","Resistor"
"R62","2K","TopLayer","R_0805_L","125.2219","73.1521","270","Resistor"
"R30","1K","TopLayer","R_0805_L","212.7250","65.2779","90","Resistor"
"R80","100R","TopLayer","R_0805_L","18.9230","51.2420","270","Resistor"
"R12","100R","TopLayer","R_0805_L","222.3770","51.2420","270","Resistor"
"R93","200K","TopLayer","R_0805_L","82.5499","55.7529","0","Resistor"
"R68","1K","TopLayer","R_0805_L","163.3221","65.4049","90","Resistor"
"R92","200K","TopLayer","R_0805_L","83.6929","52.8321","270","Resistor"
"R3","100R","TopLayer","R_0805_L","233.9340","51.2420","270","Resistor"
"R46","100R","TopLayer","R_0805_L","119.6339","51.3690","270","Resistor"
"R89","200K","TopLayer","R_0805_L","88.2649","52.8321","270","Resistor"
"R47","2K","TopLayer","R_0805_L","130.0479","65.4051","270","Resistor"
"R34","1K","TopLayer","R_0805_L","266.8271","65.2779","90","Resistor"
"R8","5mR","TopLayer","10mm_sampl","219.1220","46.4820","360","Resistor"
"R58","200K","TopLayer","R_0805_L","183.2610","52.8980","270","Resistor"
"R81","2K","TopLayer","R_0805_L","47.1169","65.2781","270","Resistor"
"R88","1K","TopLayer","R_0805_L","26.2891","73.1519","90","Resistor"
"R99","1K","TopLayer","R_0805_L","79.2481","52.8319","90","Resistor"
"R67","1K","TopLayer","R_0805_L","124.9681","65.4049","90","Resistor"
"R60","2K","TopLayer","R_0805_L","143.0019","73.2791","270","Resistor"
"R102","1K","TopLayer","R_0805_L","9.3981","65.2779","90","Resistor"
"R86","1K","TopLayer","R_0805_L","44.3230","73.2130","90","Resistor"
"R22","200K","TopLayer","R_0805_L","290.5759","55.4989","0","Resistor"
"R4","100R","TopLayer","R_0805_L","215.9000","51.2420","270","Resistor"
"R38","100R","TopLayer","R_0805_L","113.1570","51.3690","270","Resistor"
"R27","2K","TopLayer","R_0805_L","263.6519","73.2791","270","Resistor"
"R57","200K","TopLayer","R_0805_L","185.5471","52.8978","90","Resistor"
"R73","5mR","TopLayer","10mm_sampl","69.8030","46.6090","360","Resistor"
"R50","2K","TopLayer","R_0805_L","165.4809","65.4051","270","Resistor"
"R55","200K","TopLayer","R_0805_L","187.8329","52.8980","270","Resistor"
"R75","5mR","TopLayer","10mm_sampl","33.7020","46.7360","360","Resistor"
"R98","1K","TopLayer","R_0805_L","44.9581","65.2779","90","Resistor"
"R65","1K","TopLayer","R_0805_L","127.8891","65.4049","90","Resistor"
"R77","100R","TopLayer","R_0805_L","72.8979","51.2420","270","Resistor"
"R74","5mR","TopLayer","10mm_sampl","51.7360","46.7360","360","Resistor"
"R23","200K","TopLayer","R_0805_L","289.3060","52.5120","90","Resistor"
"R1","100R","TopLayer","R_0805_L","270.1290","51.2420","270","Resistor"
"R45","100R","TopLayer","R_0805_L","137.6679","51.3690","270","Resistor"
"R39","5mR","TopLayer","10mm_sampl","169.9730","46.6090","360","Resistor"
"R59","200K","TopLayer","R_0805_L","182.1179","55.8799","0","Resistor"
"R70","100R","TopLayer","R_0805_L","48.1329","51.2420","270","Resistor"
"R82","2K","TopLayer","R_0805_L","29.4639","65.2781","270","Resistor"
"R21","200K","TopLayer","R_0805_L","291.5920","52.5120","270","Resistor"
"R96","2K","TopLayer","R_0805_L","78.2319","73.1521","270","Resistor"
"R71","100R","TopLayer","R_0805_L","30.3530","51.2420","270","Resistor"
"R9","100R","TopLayer","R_0805_L","276.6059","51.2420","270","Resistor"
"R20","1K","TopLayer","R_0805_L","269.1131","73.1519","90","Resistor"
"R85","1K","TopLayer","R_0805_L","61.9761","73.1519","90","Resistor"
"R13","2K","TopLayer","R_0805_L","214.8840","65.2781","270","Resistor"
"R40","5mR","TopLayer","10mm_sampl","152.4047","46.6090","360","Resistor"
"R100","1K","TopLayer","R_0805_L","27.3051","65.2779","90","Resistor"
"R41","5mR","TopLayer","10mm_sampl","134.5400","46.7360","360","Resistor"
"R78","100R","TopLayer","R_0805_L","54.6099","51.2420","270","Resistor"
"R24","200K","TopLayer","R_0805_L","287.0200","52.5170","270","Resistor"
"R14","2K","TopLayer","R_0805_L","250.8249","65.2781","270","Resistor"
"R17","1K","TopLayer","R_0805_L","229.9971","73.0249","90","Resistor"
"R91","200K","TopLayer","R_0805_L","85.9791","52.8319","90","Resistor"
"R95","2K","TopLayer","R_0805_L","42.1639","73.1521","270","Resistor"
"R35","100R","TopLayer","R_0805_L","166.6239","51.3690","270","Resistor"
"R69","100R","TopLayer","R_0805_L","66.4209","51.2420","270","Resistor"
"R37","100R","TopLayer","R_0805_L","131.1909","51.3690","270","Resistor"
"R97","2K","TopLayer","R_0805_L","24.1299","73.1521","270","Resistor"
"R36","100R","TopLayer","R_0805_L","148.9710","51.3690","270","Resistor"
"R72","100R","TopLayer","R_0805_L","12.4459","51.2420","270","Resistor"
"R64","1K","TopLayer","R_0805_L","178.8161","52.8978","90","Resistor"
"R29","2K","TopLayer","R_0805_L","266.9539","73.1521","270","Resistor"
"R52","1K","TopLayer","R_0805_L","163.0681","73.2789","90","Resistor"
"R61","2K","TopLayer","R_0805_L","160.9089","73.2791","270","Resistor"
"R48","2K","TopLayer","R_0805_L","147.9549","65.2781","270","Resistor"
"R42","5mR","TopLayer","10mm_sampl","116.2943","46.8630","360","Resistor"
"R25","200K","TopLayer","R_0805_L","285.9430","55.3720","0","Resistor"
"R32","1K","TopLayer","R_0805_L","248.6661","65.2779","90","Resistor"
"R56","200K","TopLayer","R_0805_L","186.6899","55.8799","0","Resistor"
"R19","1K","TopLayer","R_0805_L","247.9041","73.2789","90","Resistor"
"R54","1K","TopLayer","R_0805_L","180.9751","73.4059","90","Resistor"
